marcEntry,callNumber,itemID,library,location
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.2,0201608368092,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.3,0201607315201,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.3,0201606334617,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.3,0201608105197,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.2,0201606328957,Lincoln Center--Quinn Library,AV
"4 little girls [videorecording (DVD)] / an HBO documentary film in association with 40 Acres and a Mule Filmworks production ; a Spike Lee Joint ; director, producer, Spike Lee ; producer, Sam Pollard.",W DVD 788,0201606837171,Lincoln Center--Quinn Library,AV
"4 little girls [videorecording (DVD)] / an HBO documentary film in association with 40 Acres and a Mule Filmworks production ; a Spike Lee Joint ; director, producer, Spike Lee ; producer, Sam Pollard.",W DVD 788,0201607976366,Lincoln Center--Quinn Library,AV
The 7th voyage of Sinbad [videorecording (DVD)] / Columbia Pictures Corporation ; a Morningside production.,W DVD 3670,0201607140674,Lincoln Center--Quinn Library,AV
The 7th voyage of Sinbad [videorecording (DVD)] / Columbia Pictures Corporation ; a Morningside production.,W DVD 3670,0201609167733,Lincoln Center--Quinn Library,AV
12 angry men [videorecording (DVD)] / United Artists ; story and screenplay by Reginald Rose ; produced by Henry Fonda and Reginald Rose ; directed by Sidney Lumet.,W DVD 1184,0201606788689,Lincoln Center--Quinn Library,AV
12 angry men [videorecording (DVD)] / United Artists ; story and screenplay by Reginald Rose ; produced by Henry Fonda and Reginald Rose ; directed by Sidney Lumet.,W DVD 1184,0201606056772,Lincoln Center--Quinn Library,AV
12 monkeys [videorecording (DVD)] / Universal Pictures and Atlas/Classico present an Atlas Entertainment production ; a Terry Gilliam film ; produced by Charles Roven ; screenplay by David Peoples & Janet Peoples ; directed by Terry Gilliam.,W DVD 3733,0201607152968,Lincoln Center--Quinn Library,AV
12 monkeys [videorecording (DVD)] / Universal Pictures and Atlas/Classico present an Atlas Entertainment production ; a Terry Gilliam film ; produced by Charles Roven ; screenplay by David Peoples & Janet Peoples ; directed by Terry Gilliam.,W DVD 3733,0201606318644,Lincoln Center--Quinn Library,AV
"49 Up [videorecording (DVD)] / Granada Manchester ; produced by Michael Apted, Claire Lewis ; directed by Michael Apted.",W DVD 5792,0201607718164,Lincoln Center--Quinn Library,AV
"49 Up [videorecording (DVD)] / Granada Manchester ; produced by Michael Apted, Claire Lewis ; directed by Michael Apted.",W DVD 5792,0201606334690,Lincoln Center--Quinn Library,AV
The 300 Spartans [videorecording (DVD)] / Twentieth Century-Fox Film Corporation ; written by George St. George ; produced by Rudolph Maté and George St. George ; directed by Rudolph Maté.,W DVD 6159,0201607795485,Lincoln Center--Quinn Library,AV
The 300 Spartans [videorecording (DVD)] / Twentieth Century-Fox Film Corporation ; written by George St. George ; produced by Rudolph Maté and George St. George ; directed by Rudolph Maté.,W DVD 6159,0201609175090,Lincoln Center--Quinn Library,AV
"The 400 blows [videorecording (DVD)] / Les Films du Carrosse, S.E.D.I.F. ; producer, Georges Charlot ; original story by François Truffaut ; adaptation by Marcel Moussy and François Truffaut ; directed by François Truffaut.",W DVD 5516,0201607647694,Lincoln Center--Quinn Library,AV
"2046 [videorecording (DVD)] / Sony Pictures Classics ; Block 2 Pictures, Inc. and Paradis Films, Orly Films, Classic SRL, Shanghai Film Group Corporation present a Jet Tone Films prouction ; producers, Eric Heumann, Ren Zhonglun, Zhu Yongde ; produced, directed and written by Wong Kar Wai.",W DVD 3972,0201607199746,Lincoln Center--Quinn Library,AV
"2046 [videorecording (DVD)] / Sony Pictures Classics ; Block 2 Pictures, Inc. and Paradis Films, Orly Films, Classic SRL, Shanghai Film Group Corporation present a Jet Tone Films prouction ; producers, Eric Heumann, Ren Zhonglun, Zhu Yongde ; produced, directed and written by Wong Kar Wai.",W DVD 3972,0201607599689,Lincoln Center--Quinn Library,AV
