marcEntry_x,callNumber,itemID_x,library,location_x
2 days in the valley [videorecording (DVD)] / Rysher Entertainment presents in association with Redemption productions a John Herzfeld film.,W DVD 156,0201605025513,Lincoln Center--Quinn Library,AV
3:10 to Yuma [videorecording (DVD)] / Lionsgate presents ; a Tree Line Film production ; in association with Relativity Media ; screenplay by Halsted Welles and Michael Brandt & Derek Haas ; produced by Cathy Konrad ; directed by James Mangold.,W DVD 8048,0201608133173,Lincoln Center--Quinn Library,AV
"3 idiots [videorecording (DVD)] / producer, Vidhu Vinod Chopra ; story, screenplay & dialogues, Rajkumar Hirani, Abhijat Joshi ; director, Rajkumar Hirani.","W DVD 12,101",0201609170059,Lincoln Center--Quinn Library,AV
7 faces of Dr. Lao [videorecording (DVD)] / Metro-Goldwyn-Mayer ; a George Pal production ; screenplay by Charles Beaumont ; directed by George Pal.,"W DVD 11,358",0201609042027,Lincoln Center--Quinn Library,AV
"9/11 [videorecording (DVD)] / a Goldfish Pictures, Inc. and Silverstar Productions, LLC in association with Reveille ; producers/editors, Richard Barber, M.J. Maloy, Bruce Spiegel, Mead Stone, Paul LaRosa, Ian P. Paisley ; writers, Tom Forman, Greg Kandra ; directors, Jules Naudet, Gedeon Naudet, James Hanlon.",W DVD 627,0201605586050,Lincoln Center--Quinn Library,AV
9/11: blueprint for truth [videorecording (DVD)] : the architecture of destruction / with Richard Gage.,W DVD 9552,0201608442186,Lincoln Center--Quinn Library,AV
"10 questions for the Dalai Lama [videorecording (DVD)] / a Last Ditch Effort production ; produced by Rick Ray and Sharon Ray ; written, directed and filmed by Rick Ray.",W DVD 9155,0201608368654,Lincoln Center--Quinn Library,AV
10 Things I Hate About You [videorecording (DVD)]/ Touchstone Pictures presents a Mad Chance/Jaret Entertainment production ; produced by Andrew Lazar ; written by Karen McCullah Lutz & Kirsten Smith ; directed by Gil Junger.,W DVD 285,0201607998287,Lincoln Center--Quinn Library,AV
"10,000 BC [videorecording (DVD)] / Warner Bros. Pictures presents in association with Legendary Pictures, a Centropolis production, a Roland Emmerich film ; produced by Michael Wimer, Roland Emmerich, Mark Gordon ; written by Roland Emmerich and Harald Kloser ; directed by Roland Emmerich.",W DVD 9157,0201608368555,Lincoln Center--Quinn Library,AV
12 monkeys [videorecording (DVD)] / Universal Pictures and Atlas/Classico present an Atlas Entertainment production ; a Terry Gilliam film ; produced by Charles Roven ; screenplay by David Peoples & Janet Peoples ; directed by Terry Gilliam.,W DVD 3733,0201607152968,Lincoln Center--Quinn Library,AV
"12 years a slave [videorecording (DVD)] / Fox Searchlight Pictures ; directed by Steve McQueen ; screenplay by John Ridley ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner ; produced by Bill Pohlad, Steve McQueen, Arnon Milchan, Anthony Katagas ; executive producers, Tessa Ross, John Ridley ; Regency Enterprises and River Road Entertainment present a River Road, Plan B, and New Regency production ; in association with Film4 ; a film by Steve McQueen.","W DVD 13,555",0201609429299,Lincoln Center--Quinn Library,AV
24. Season three [videorecording (DVD)] / Imagine Television ; produced in association with Real Time Productions ; created by Joel Surnow and Robert Cochran.,W DVD 4028 SEASON THREE V.1,0201607209818,Lincoln Center--Quinn Library,AV
24. Season three [videorecording (DVD)] / Imagine Television ; produced in association with Real Time Productions ; created by Joel Surnow and Robert Cochran.,W DVD 4028 SEASON THREE V.2,0201607209826,Lincoln Center--Quinn Library,AV
24. Season three [videorecording (DVD)] / Imagine Television ; produced in association with Real Time Productions ; created by Joel Surnow and Robert Cochran.,W DVD 4028 SEASON THREE V.3,0201607209834,Lincoln Center--Quinn Library,AV
24. Season three [videorecording (DVD)] / Imagine Television ; produced in association with Real Time Productions ; created by Joel Surnow and Robert Cochran.,W DVD 4028 SEASON THREE V.5,0201607209859,Lincoln Center--Quinn Library,AV
24. Season three [videorecording (DVD)] / Imagine Television ; produced in association with Real Time Productions ; created by Joel Surnow and Robert Cochran.,W DVD 4028 SEASON THREE V.6,0201607209867,Lincoln Center--Quinn Library,AV
24. Season three [videorecording (DVD)] / Imagine Television ; produced in association with Real Time Productions ; created by Joel Surnow and Robert Cochran.,W DVD 4028 SEASON THREE V.7,0201607209875,Lincoln Center--Quinn Library,AV
"27 dresses [videorecording (DVD)] / 20th Century Fox, Fox 2000 Pictures and Spyglass Entertainment present,  a Birnbaum/Barber production, made in association with Dune Entertainment III LLC ; produced by Roger Birnbaum, Gary Barber, Jonathan Glickman ; written by Aline Brosh McKenna ; directed by Anne Fletcher.",W DVD 8771,0201608265397,Lincoln Center--Quinn Library,AV
"28 days later [videorecording (DVD)] / Fox Searchlight Pictures presents in association with DNA Films and The Film Council ; producer, Andrew MacDonald ; writer, Alex Garland ; director, Danny Boyle.",W DVD 960,0201608728238,Lincoln Center--Quinn Library,AV
"35 rhums [videorecording (DVD)] = 35 shots of rum / Soudaine compagnie présente une coproduction franco-allemande Soudaine compagnie, ARTE France cinéma, Pandora Film Produktion ; un film de Claire Denis ; produit par Bruno Pesery ... [et al.] ; scénario, Claire Denis et Jean-Pol Fargeau.","W DVD 10,858",0201609482660,Lincoln Center--Quinn Library,AV
The 39 steps [videorecording (DVD)] / Gaumont Pictures.,W DVD 1825,0201609482900,Lincoln Center--Quinn Library,AV
"The 39 steps [videorecording (DVD)] / Gaumont-British Picture Corporation Ltd. ; adaption, Charles Bennett ; writer, Ian Hay ; director, Alfred Hitchcock.",W DVD 1825 1999,0201606891228,Lincoln Center--Quinn Library,AV
"42nd street [videorecording (DVD)] / Warner Bros. Pictures, Inc. & the Vitaphone Corp. ; directed by Lloyd Bacon ; screen play by Rian James & James Seymour.",W DVD 4360,0201607315748,Lincoln Center--Quinn Library,AV
The 50 years war [videorecording (DVD)] : Israel and the Arabs.,W DVD 8768 V.1,0201605999329,Lincoln Center--Quinn Library,AV
The 50 years war [videorecording (DVD)] : Israel and the Arabs.,W DVD 8768 V.2,0201605999337,Lincoln Center--Quinn Library,AV
84 Charing Cross Road [videorecording (DVD)] / Columbia Pictures ; a Brooksfilms production ; a David Jones film ; screenplay by Hugh Whitemore ; produced by Geoffrey Helman ; directed by David Jones.,W DVD 2212,0201606838021,Lincoln Center--Quinn Library,AV
"127 hours [videorecording (DVD)] / Fox Searchlight Pictures and Pathé present in association with Everest Entertainment a Cloud Eight, Decibel Films, Darlow Smithson production ; a Danny Boyle film ; produced by Christian Colson, Danny Boyle, John Smithson ; screenplay by Danny Boyle and Simon Beaufoy ; directed by Danny Boyle.","W DVD 11,816",0201609163468,Lincoln Center--Quinn Library,AV
"500 years later [videorecording (DVD)] / a film by Owen Alik Shahadah ; an Afrikan Holocaust production ; executive producer, M.K. Asante, Jr. ; director, Owen Alik Shahadah.",W DVD 7962,0201608222166,Lincoln Center--Quinn Library,AV
The 1930s [videorecording (DVD)] / WGBH Educational Foundation.,"W DVD 10,735, V.2, DISC 5",0201609019652,Lincoln Center--Quinn Library,AV
The 1930s [videorecording (DVD)] / WGBH Educational Foundation.,"W DVD 10,735, V.1, DISC 1",0201609019611,Lincoln Center--Quinn Library,AV
The 1930s [videorecording (DVD)] / WGBH Educational Foundation.,"W DVD 10,735, V.1, DISC 2",0201609019629,Lincoln Center--Quinn Library,AV
The 1930s [videorecording (DVD)] / WGBH Educational Foundation.,"W DVD 10,735, V.1, DISC 3",0201609019637,Lincoln Center--Quinn Library,AV
The 1930s [videorecording (DVD)] / WGBH Educational Foundation.,"W DVD 10,735, V.2, DISC 4",0201609019645,Lincoln Center--Quinn Library,AV
