marcEntry,callNumber,itemID,library_x,location,callNum2
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.2,201608368092,Lincoln Center--Quinn Library,AV, 4337 V.2
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.3,201607315201,Lincoln Center--Quinn Library,AV, 4337 V.3
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.3,201606334617,Lincoln Center--Quinn Library,AV, 4337 V.3
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.3,201608105197,Lincoln Center--Quinn Library,AV, 4337 V.3
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.2,201606328957,Lincoln Center--Quinn Library,AV, 4337 V.2
"4 little girls [videorecording (DVD)] / an HBO documentary film in association with 40 Acres and a Mule Filmworks production ; a Spike Lee Joint ; director, producer, Spike Lee ; producer, Sam Pollard.",W DVD 788,201606837171,Lincoln Center--Quinn Library,AV, 788
"4 little girls [videorecording (DVD)] / an HBO documentary film in association with 40 Acres and a Mule Filmworks production ; a Spike Lee Joint ; director, producer, Spike Lee ; producer, Sam Pollard.",W DVD 788,201607976366,Lincoln Center--Quinn Library,AV, 788
The 7th voyage of Sinbad [videorecording (DVD)] / Columbia Pictures Corporation ; a Morningside production.,W DVD 3670,201607140674,Lincoln Center--Quinn Library,AV, 3670
The 7th voyage of Sinbad [videorecording (DVD)] / Columbia Pictures Corporation ; a Morningside production.,W DVD 3670,201609167733,Lincoln Center--Quinn Library,AV, 3670
12 angry men [videorecording (DVD)] / United Artists ; story and screenplay by Reginald Rose ; produced by Henry Fonda and Reginald Rose ; directed by Sidney Lumet.,W DVD 1184,201606788689,Lincoln Center--Quinn Library,AV, 1184
12 angry men [videorecording (DVD)] / United Artists ; story and screenplay by Reginald Rose ; produced by Henry Fonda and Reginald Rose ; directed by Sidney Lumet.,W DVD 1184,201606056772,Lincoln Center--Quinn Library,AV, 1184
"49 Up [videorecording (DVD)] / Granada Manchester ; produced by Michael Apted, Claire Lewis ; directed by Michael Apted.",W DVD 5792,201607718164,Lincoln Center--Quinn Library,AV, 5792
"49 Up [videorecording (DVD)] / Granada Manchester ; produced by Michael Apted, Claire Lewis ; directed by Michael Apted.",W DVD 5792,201606334690,Lincoln Center--Quinn Library,AV, 5792
The 300 Spartans [videorecording (DVD)] / Twentieth Century-Fox Film Corporation ; written by George St. George ; produced by Rudolph Maté and George St. George ; directed by Rudolph Maté.,W DVD 6159,201607795485,Lincoln Center--Quinn Library,AV, 6159
The 300 Spartans [videorecording (DVD)] / Twentieth Century-Fox Film Corporation ; written by George St. George ; produced by Rudolph Maté and George St. George ; directed by Rudolph Maté.,W DVD 6159,201609175090,Lincoln Center--Quinn Library,AV, 6159
"The 400 blows [videorecording (DVD)] / Les Films du Carrosse, S.E.D.I.F. ; producer, Georges Charlot ; original story by François Truffaut ; adaptation by Marcel Moussy and François Truffaut ; directed by François Truffaut.",W DVD 5516,201607647694,Lincoln Center--Quinn Library,AV, 5516
"2046 [videorecording (DVD)] / Sony Pictures Classics ; Block 2 Pictures, Inc. and Paradis Films, Orly Films, Classic SRL, Shanghai Film Group Corporation present a Jet Tone Films prouction ; producers, Eric Heumann, Ren Zhonglun, Zhu Yongde ; produced, directed and written by Wong Kar Wai.",W DVD 3972,201607199746,Lincoln Center--Quinn Library,AV, 3972
"2046 [videorecording (DVD)] / Sony Pictures Classics ; Block 2 Pictures, Inc. and Paradis Films, Orly Films, Classic SRL, Shanghai Film Group Corporation present a Jet Tone Films prouction ; producers, Eric Heumann, Ren Zhonglun, Zhu Yongde ; produced, directed and written by Wong Kar Wai.",W DVD 3972,201607599689,Lincoln Center--Quinn Library,AV, 3972
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.1,201606190449,Lincoln Center--Quinn Library,AV, 936 V.1
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.1,201606318990,Lincoln Center--Quinn Library,AV, 936 V.1
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.2,201606190456,Lincoln Center--Quinn Library,AV, 936 V.2
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.2,201606318982,Lincoln Center--Quinn Library,AV, 936 V.2
"African art [videorecording (DVD)] : its cultural meaning / produced by Academic Media Network, Inc.",W DVD 5199,201607445628,Lincoln Center--Quinn Library,AV, 5199
"African art [videorecording (DVD)] : its cultural meaning / produced by Academic Media Network, Inc.",W DVD 5199,201607976036,Lincoln Center--Quinn Library,AV, 5199
"After Stonewall [videorecording (DVD)] : from the riots to the millennium / producer/writer, John Scagliotti.",W DVD 2339,201606869950,Lincoln Center--Quinn Library,AV, 2339
"After Stonewall [videorecording (DVD)] : from the riots to the millennium / producer/writer, John Scagliotti.",W DVD 2339,201608049668,Lincoln Center--Quinn Library,AV, 2339
