,marcEntry,callNumber,library,numberOfCharges,numberOfBills,numberOfCopyHolds,totalCharges,inhouseCharges,totalCheckouts,totalRenewals,intervalCheckouts,intervalRenewals,intervalStartDate,recirculate,dateLastUsed,isReserveItem,copyNumber,itemID,library2,libraryDescription,currentLibrary,location,inTransitTo,inTransitFrom,datePutInTransit,transitReason
281,Philosophy for dummies / by Tom Morris.,B74 .M67 1999,LINCOLNCTR,0.0,0.0,0.0,59.0,0.0,10.0,8.0,0.0,0.0,1/14/2025,YES,2015-09-02,False,1.0,0201603896709,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
6456,Success for dummies / by Zig Ziglar ; foreword by Lou Holtz.,BF637.S8 Z54 1998,LINCOLNCTR,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2008-05-01,False,1.0,0201603052105,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
7783,Astrology for dummies / by Rae Orion.,BF1708.1 .O75 1999,LINCOLNCTR,0.0,0.0,0.0,26.0,1.0,2.0,2.0,0.0,0.0,1/14/2025,YES,2016-08-22,False,1.0,0201603979273,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
8613,Etiquette for dummies / by Sue Fox.,BJ1853 .F69 1999,LINCOLNCTR,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1/14/2025,YES,2014-04-02,False,1.0,0201603979257,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38820,Workouts for dummies / by Tamilee Webb with Lori Seeger.,GV481 .W44 1998,LINCOLNCTR,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2008-07-02,False,1.0,0201603464284,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38821,Weight training for dummies / Liz Neporent and Suzanne Schlosberg.,GV546.5 .N46 1997,LINCOLNCTR,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2010-07-06,False,1.0,0201602631974,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38823,Sports memorabilia for dummies / by Pete Williams ; foreward by Gary Carter.,GV568.5 .W55 1998,LINCOLNCTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,,False,1.0,0201603317151,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38873,Sailing for dummies / by JJ and Peter Isler.,GV811 .I8 1997,LINCOLNCTR,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2002-06-11,False,1.0,0201602640561,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38881,Hockey for dummies / by John Davidson with John Steinbreder ; preface by Mike Myers ; forward by Wayne Gretzky.,GV847 .G38 1997,LINCOLNCTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,,False,1.0,0201602774766,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38883,Figure skating for dummies / by Kristi Yamaguchi with Christy Ness and Jody Meacham ; foreword by Scott Hamilton.,GV849 .Y36 1997,LINCOLNCTR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2002-07-31,False,1.0,0201602861423,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38884,Skiing for dummies / by Allen St. John ; foreword by Jonny Moseley.,GV854 .S23 1999,LINCOLNCTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,,False,1.0,0201603881990,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38889,Baseball for dummies / by Joe Morgan with Richard Lally ; foreword by Sparky Anderson.,GV863.A1 M67 1998,LINCOLNCTR,0.0,0.0,0.0,14.0,0.0,1.0,11.0,0.0,0.0,1/14/2025,YES,2017-01-18,False,1.0,0201603052717,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38932,Basketball for dummies / by Digger Phelps with John Walters ; foreword by Dick Vitale.,GV885 .P48 1997,LINCOLNCTR,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2005-08-26,False,1.0,0201602773750,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38944,Football for dummies / by Howie Long with John Czarnecki.,GV951 .L65 1998,LINCOLNCTR,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2004-05-06,False,1.0,0201603298450,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38950,Golf for dummies / by Gary McCord  ; foreword by Alice Cooper.,GV965 .M236 1999,LINCOLNCTR,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1/14/2025,YES,2012-08-21,False,1.0,0201603573019,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38955,Tennis for dummies / by Patrick McEnroe with Peter Bodo ; foreword by John McEnroe.,GV995 .M34 1998,LINCOLNCTR,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2005-07-05,False,1.0,0201603298492,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38958,Bicycling for dummies / by Allen St. John.,GV1041 .S22 1999,LINCOLNCTR,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1/14/2025,YES,2012-05-01,False,1.0,0201603568829,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38963,Running for dummies / by Florence Griffith Joyner and John Hanc ; foreword by Jackie Joyner-Kersee.,GV1061 .G75 1999,LINCOLNCTR,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,1/14/2025,YES,2012-04-30,False,1.0,0201603606561,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38976,Card games for dummies / by Barry Rigal ; foreword by Omar Sharif.,GV1243 .R54 1997,LINCOLNCTR,0.0,0.0,0.0,20.0,0.0,2.0,12.0,0.0,0.0,1/14/2025,YES,2012-03-02,False,1.0,0201602837910,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38978,Bridge for dummies / by Eddie Kantar.,GV1282.3 .K36 1997,LINCOLNCTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,,False,1.0,0201602639506,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38983,Chess for dummies / by James Eade.,GV1446 .E23 1996,LINCOLNCTR,0.0,0.0,0.0,52.0,0.0,2.0,9.0,0.0,0.0,1/14/2025,YES,2022-08-23,False,1.0,0201602373643,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
38988,Cocktail parties for dummies / by Jaymz Bee with Jan Gregor.,GV1471 .B44 1997,LINCOLNCTR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2003-04-14,False,1.0,0201602790077,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
