marcEntry_x,callNumber,itemID_x,library,location_x
1/3 [videorecording (DVD)] / a film by Yong-man Kim ; produced by Marcia T. Mohiuddin ; written by Yong-Man Kim and Edward Moran ; directed by Yong-man Kim.,W DVD 7848,0201608106138,Lincoln Center--Quinn Library,AV
1 giant leap [videorecording (DVD)] / Palm Pictures.,W DVD 8734,0201608261701,Lincoln Center--Quinn Library,AV
"2:37 [videorecording (DVD)] / Arclight Films ; M2 Entertainment in association with Kojo Pictures presents a film by Murali K. Thalluri ; written and directed by Murali K. Thalluri ; producers, Kent Smith, Murali K. Thalluri, Nick Matthews.",W DVD 9999,0201608538009,Lincoln Center--Quinn Library,AV
"2:37 [videorecording (DVD)] / M2 Entertainment in association with Kojo Pictures presents a film by Murali K. Thalluri ; written and directed by Murali K. Thalluri ; producers, Kent Smith, Murali K. Thalluri, Nick Matthews.",W DVD 9999 2007,0201608907691,Lincoln Center--Quinn Library,AV
"2 days in New York [videorecording (DVD)] / Christophe Mazodier presents ; Polaris Films ; in association with Alvy Productions, In Productions, in co-production with TDY Filmproduktion ; in association with Protozoa Pictures ; Tempête Sous un Crâne ; directed by Julie Delpy ; produced by Scott Franklin ; screenplay by Julie Delpy and Alexia Landeau.","W DVD 13,504",0201609426774,Lincoln Center--Quinn Library,AV
"2 days in Paris [videorecording (DVD)] / Polaris Film Production & Finance & Tempête sous un Crâne production present ; in co-production with 3L Filmproduktion GmbH ; in association with Backup Media GmbH and Rezo Films International ; written and directed by Julie Delpy ; producers, Christophe Mazodier, Julie Delpy, Thierry Potok.","W DVD 13,503",0201609426782,Lincoln Center--Quinn Library,AV
"2 ou 3 choses que je sais d'elle [videorecording (DVD)] / Rialto Pictures ; Argos Films ; production company, Anouchka Films/Argos-Films/Les Films du Carosse/Parc Film ; director, script, Jean-Luc Godard ; producers, Anatole Dauman, Raoul Lévy.","W DVD 10,380, BOOKLET",0201608904896,Lincoln Center--Quinn Library,AV
"2 ou 3 choses que je sais d'elle [videorecording (DVD)] / Rialto Pictures ; Argos Films ; production company, Anouchka Films/Argos-Films/Les Films du Carosse/Parc Film ; director, script, Jean-Luc Godard ; producers, Anatole Dauman, Raoul Lévy.","W DVD 10,380",0201608904904,Lincoln Center--Quinn Library,AV
2LDK [videorecording (DVD)] / Duel Film Partners ; directed by Yukihiko Tsutsumi ; story & screenplay by Yukihiko Tsutsumi.,W DVD 8547,0201608224501,Lincoln Center--Quinn Library,AV
3:10 to Yuma [videorecording (DVD)].,W DVD 608,0201605572605,Lincoln Center--Quinn Library,AV
"3 backyards [videorecording (DVD)] / a Caruso/Mendelsohn production in association with Fred Berner Films ; producers, Amy Durning, Eric Mendelsohn, Rocco Caruso ; written & directed by Eric Mendelsohn.","W DVD 12,309",0201609176791,Lincoln Center--Quinn Library,AV
"3 extremes [videorecording (DVD)] / ""Box"" directed by Takashi Miike ; ""Dumplings"" directed by Fruit Chan ; ""Cut"" directed by Chan-wook Park.",W DVD 4222 V.1,0201607266313,Lincoln Center--Quinn Library,AV
"3 extremes [videorecording (DVD)] / ""Box"" directed by Takashi Miike ; ""Dumplings"" directed by Fruit Chan ; ""Cut"" directed by Chan-wook Park.",W DVD 4222 V.2,0201607266321,Lincoln Center--Quinn Library,AV
"3 extremes II [videorecording (DVD)] / Applause Pictures, CJ Entertainment and Sahamongkol Film jointly present an Applause Pictures, b.o.m Film Productions and Cinemasia co-production ; a Kim, Jee-Woon, Nonzee Nimibutr and Peter Ho-Sun Chan film.",W DVD 4719,0201607506635,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.1,0201607315185,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.2,0201608368092,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.3,0201607315201,Lincoln Center--Quinn Library,AV
3 films by Louis Malle [videorecording (DVD)] / Nouvelles Editions de Films ; written and directed by Louis Malle.,W DVD 4337 V.4,0201607315219,Lincoln Center--Quinn Library,AV
"3 godfathers [videorecording (DVD)] / produced by Argosy Pictures Corporation, a Metro-Goldwyn-Mayer picture; produced by John Ford and Merian C. Cooper; directed by John Ford; screenplay by Laurence Stallings and Frank S Nugent from a the story by Peter B. Kyne.",W DVD 4961,0201607409525,Lincoln Center--Quinn Library,AV
"3 iron [videorecording (DVD)] / presented by Happinet Pictures & Kim Ki-duk Film in association with Chungeorahm Film ; produced, written and directed by Kim Ki-duk.",W DVD 3345,0201607061128,Lincoln Center--Quinn Library,AV
"3 needles [videorecording (DVD)] / Bigfoot Partners, Covington USA and Wolfe Releasing presents an Emotion Picture ; produced with the participation of Telefilm Canada, Astral Media, The Nova Scotia Film Development Corporation, The Movie Network, Movie Central through Corus Entertainment, Super Écran, The Nova Scotia Film Industry Tax Credit, The Canadian Film or Video Tax Credit developed and produced in association with Cryin ; a film by Thom Fitzgerald ; producer, Bryan Hofbauer ; produced, written and directed by Thom Fitzgerald.",W DVD 6160,0201607795477,Lincoln Center--Quinn Library,AV
3 silent classics by Josef von Sternberg [videorecording (DVD)].,"W DVD 11,287, BOOKLET",0201609037076,Lincoln Center--Quinn Library,AV
3 silent classics by Josef von Sternberg [videorecording (DVD)].,"W DVD 11,287, DISC 1",0201609037084,Lincoln Center--Quinn Library,AV
3 silent classics by Josef von Sternberg [videorecording (DVD)].,"W DVD 11,287, DISC 2",0201609037092,Lincoln Center--Quinn Library,AV
3 silent classics by Josef von Sternberg [videorecording (DVD)].,"W DVD 11,287, DISC 3",0201609037100,Lincoln Center--Quinn Library,AV
"3 women [videorecording (DVD)]  / Twentieth Century Fox ; writer, producer, director, Robert Altman ; a production of Lion's Gate Films.",W DVD 1389,0201606553679,Lincoln Center--Quinn Library,AV
The 3 worlds of Gulliver [videorecording (DVD)] / Columbia Pictures ; directed by Jack Sher.,W DVD 3673,0201607140641,Lincoln Center--Quinn Library,AV
